2	RS485DIR	OUTPUT
3	servoPin1	OUTPUT
4	servoPin2	OUTPUT
5	servoPin3	OUTPUT
6	servoPin4	OUTPUT
7	servoPin5	OUTPUT
8	servoPin6	OUTPUT
9	servoPin7	OUTPUT
10	servoPin8	OUTPUT
13	statusLed	OUTPUT
A0	pwmPin1	OUTPUT
A1	pwmPin2	OUTPUT
A2	shortCircuit	INPUT

MCP1
0	swPin1	INPUT_PULLUP
1	swPin2	INPUT_PULLUP
2	swPin3	INPUT_PULLUP
3	swPin4	INPUT_PULLUP
4	swPin5	INPUT_PULLUP
5	swPin6	INPUT_PULLUP
6	swPin7	INPUT_PULLUP
7	swPin8	INPUT_PULLUP
8	swPin9	INPUT_PULLUP
9	swPin10	OUTPUT
10	swPin11	OUTPUT
11	swPin12	OUTPUT
12	swPin13	OUTPUT
13	swPin14	OUTPUT
14	swPin15	INPUT_PULLUP
15	swPin16	INPUT_PULLUP
